t_s,setpoint_front,setpoint_middle,setpoint_back,setpoint_nozzle,sensor_front,sensor_middle,sensor_back,sensor_nozzle,steel_front,steel_middle,steel_back,steel_nozzle,band_front,band_middle,band_back,band_nozzle,duty_front,duty_middle,duty_back,duty_nozzle,power_w_front,power_w_middle,power_w_back,power_w_nozzle
0.01,180.000,180.000,170.000,175.000,22.000,22.000,22.000,22.000,22.000,22.000,22.000,22.000,22.012,22.012,22.012,22.021,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,200.00
1.00,180.000,180.000,170.000,175.000,22.000,22.000,22.000,22.000,22.001,22.001,22.001,22.001,23.245,23.245,23.245,23.987,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
2.00,180.000,180.000,170.000,175.000,22.000,22.000,22.000,22.000,22.005,22.005,22.005,22.005,24.481,24.481,24.481,25.959,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
3.00,180.000,180.000,170.000,175.000,22.000,22.000,22.000,22.000,22.010,22.010,22.010,22.012,25.707,25.707,25.707,27.917,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
4.00,180.000,180.000,170.000,175.000,22.001,22.001,22.001,22.001,22.018,22.018,22.018,22.020,26.925,26.925,26.925,29.860,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
5.00,180.000,180.000,170.000,175.000,22.002,22.002,22.002,22.002,22.028,22.028,22.028,22.031,28.135,28.135,28.135,31.789,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
6.00,180.000,180.000,170.000,175.000,22.003,22.003,22.003,22.004,22.040,22.040,22.040,22.044,29.335,29.335,29.335,33.702,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
7.00,180.000,180.000,170.000,175.000,22.005,22.005,22.005,22.006,22.055,22.055,22.055,22.059,30.527,30.527,30.527,35.602,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
8.00,180.000,180.000,170.000,175.000,22.008,22.008,22.008,22.009,22.072,22.072,22.072,22.076,31.711,31.711,31.711,37.487,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
9.00,180.000,180.000,170.000,175.000,22.011,22.011,22.011,22.012,22.090,22.090,22.090,22.095,32.886,32.886,32.886,39.358,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
10.00,180.000,180.000,170.000,175.000,22.015,22.015,22.015,22.016,22.111,22.111,22.111,22.116,34.052,34.052,34.052,41.215,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
11.00,180.000,180.000,170.000,175.000,22.020,22.020,22.020,22.022,22.134,22.134,22.134,22.138,35.211,35.211,35.210,43.058,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
12.00,180.000,180.000,170.000,175.000,22.026,22.026,22.026,22.028,22.159,22.159,22.159,22.163,36.361,36.361,36.361,44.887,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
13.00,180.000,180.000,170.000,175.000,22.033,22.033,22.033,22.034,22.186,22.186,22.186,22.188,37.502,37.503,37.502,46.702,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
14.00,180.000,180.000,170.000,175.000,22.041,22.041,22.041,22.042,22.215,22.215,22.215,22.215,38.636,38.636,38.636,48.503,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
15.00,180.000,180.000,170.000,175.000,22.050,22.050,22.050,22.051,22.246,22.246,22.246,22.244,39.762,39.762,39.762,50.291,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
16.00,180.000,180.000,170.000,175.000,22.060,22.060,22.060,22.061,22.279,22.279,22.279,22.274,40.880,40.880,40.880,52.065,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
17.00,180.000,180.000,170.000,175.000,22.071,22.071,22.071,22.072,22.314,22.314,22.314,22.306,41.990,41.990,41.990,53.826,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
18.00,180.000,180.000,170.000,175.000,22.083,22.083,22.083,22.083,22.351,22.351,22.351,22.339,43.092,43.093,43.092,55.574,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
19.00,180.000,180.000,170.000,175.000,22.097,22.097,22.097,22.096,22.390,22.390,22.390,22.373,44.187,44.187,44.187,57.308,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
20.00,180.000,180.000,170.000,175.000,22.111,22.111,22.111,22.110,22.431,22.431,22.431,22.408,45.274,45.274,45.273,59.029,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
21.00,180.000,180.000,170.000,175.000,22.127,22.127,22.127,22.125,22.473,22.473,22.473,22.444,46.353,46.353,46.353,60.737,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
22.00,180.000,180.000,170.000,175.000,22.145,22.145,22.145,22.141,22.518,22.518,22.518,22.482,47.425,47.425,47.424,62.433,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
23.00,180.000,180.000,170.000,175.000,22.164,22.164,22.164,22.158,22.564,22.564,22.564,22.521,48.489,48.490,48.489,64.115,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
24.00,180.000,180.000,170.000,175.000,22.184,22.184,22.184,22.176,22.612,22.612,22.612,22.560,49.546,49.547,49.546,65.785,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
25.00,180.000,180.000,170.000,175.000,22.205,22.205,22.205,22.196,22.663,22.663,22.663,22.601,50.595,50.596,50.595,67.442,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
26.00,180.000,180.000,170.000,175.000,22.228,22.228,22.228,22.216,22.714,22.714,22.714,22.643,51.638,51.639,51.637,69.086,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
27.00,180.000,180.000,170.000,175.000,22.253,22.253,22.253,22.237,22.768,22.768,22.768,22.685,52.673,52.674,52.672,70.718,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
28.00,180.000,180.000,170.000,175.000,22.278,22.278,22.278,22.260,22.824,22.824,22.824,22.729,53.701,53.702,53.700,72.338,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
29.00,180.000,180.000,170.000,175.000,22.306,22.306,22.306,22.283,22.881,22.881,22.881,22.773,54.722,54.723,54.721,73.945,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
30.00,180.000,180.000,170.000,175.000,22.334,22.334,22.334,22.308,22.940,22.940,22.940,22.819,55.735,55.737,55.735,75.540,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
31.00,180.000,180.000,170.000,175.000,22.365,22.365,22.365,22.333,23.000,23.000,23.000,22.865,56.742,56.744,56.742,77.124,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
32.00,180.000,180.000,170.000,175.000,22.396,22.396,22.396,22.360,23.063,23.063,23.063,22.912,57.742,57.745,57.742,78.695,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
33.00,180.000,180.000,170.000,175.000,22.430,22.430,22.430,22.387,23.127,23.127,23.127,22.960,58.736,58.738,58.736,80.254,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
34.00,180.000,180.000,170.000,175.000,22.465,22.465,22.465,22.416,23.193,23.193,23.193,23.008,59.722,59.725,59.722,81.801,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
35.00,180.000,180.000,170.000,175.000,22.501,22.501,22.501,22.445,23.260,23.260,23.260,23.057,60.702,60.705,60.702,83.337,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
36.00,180.000,180.000,170.000,175.000,22.539,22.539,22.539,22.476,23.329,23.329,23.329,23.107,61.675,61.678,61.675,84.861,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
37.00,180.000,180.000,170.000,175.000,22.578,22.578,22.578,22.507,23.400,23.400,23.400,23.158,62.642,62.645,62.642,86.374,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
38.00,180.000,180.000,170.000,175.000,22.619,22.619,22.619,22.539,23.472,23.472,23.472,23.209,63.602,63.606,63.602,87.875,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
39.00,180.000,180.000,170.000,175.000,22.662,22.662,22.662,22.573,23.546,23.546,23.546,23.261,64.555,64.560,64.555,89.364,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
40.00,180.000,180.000,170.000,175.000,22.706,22.706,22.706,22.607,23.622,23.622,23.622,23.313,65.503,65.507,65.502,90.843,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
41.00,180.000,180.000,170.000,175.000,22.751,22.751,22.751,22.642,23.699,23.699,23.699,23.366,66.443,66.448,66.443,92.310,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
42.00,180.000,180.000,170.000,175.000,22.799,22.799,22.798,22.678,23.778,23.778,23.777,23.420,67.378,67.383,67.378,93.766,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
