t_s,setpoint_front,setpoint_middle,setpoint_back,setpoint_nozzle,sensor_front,sensor_middle,sensor_back,sensor_nozzle,steel_front,steel_middle,steel_back,steel_nozzle,band_front,band_middle,band_back,band_nozzle,duty_front,duty_middle,duty_back,duty_nozzle,power_w_front,power_w_middle,power_w_back,power_w_nozzle
0.01,180.000,180.000,180.000,180.000,22.000,22.000,22.000,22.000,22.000,22.000,22.000,22.000,22.171,22.171,22.171,22.288,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,200.00
1.00,180.000,180.000,180.000,180.000,22.000,22.000,22.000,22.000,22.015,22.015,22.015,22.018,38.321,38.321,38.321,47.974,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
2.00,180.000,180.000,180.000,180.000,22.000,22.000,22.000,22.000,22.059,22.059,22.059,22.067,53.094,53.094,53.094,71.349,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
3.00,180.000,180.000,180.000,180.000,22.001,22.001,22.001,22.001,22.128,22.128,22.128,22.144,66.468,66.468,66.468,92.355,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
4.00,180.000,180.000,180.000,180.000,22.002,22.002,22.002,22.002,22.221,22.221,22.221,22.245,78.579,78.579,78.578,111.215,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
5.00,180.000,180.000,180.000,180.000,22.003,22.003,22.003,22.004,22.335,22.335,22.335,22.365,89.548,89.548,89.547,128.137,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
6.00,180.000,180.000,180.000,180.000,22.006,22.006,22.006,22.006,22.467,22.467,22.467,22.502,99.485,99.486,99.484,143.309,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
7.00,180.000,180.000,180.000,180.000,22.009,22.009,22.009,22.010,22.617,22.617,22.617,22.654,108.491,108.493,108.490,156.907,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
8.00,180.000,180.000,180.000,180.000,22.013,22.013,22.013,22.014,22.782,22.782,22.782,22.817,116.655,116.658,116.654,169.087,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
9.00,180.000,180.000,180.000,180.000,22.019,22.019,22.019,22.020,22.962,22.962,22.962,22.990,124.059,124.062,124.057,179.996,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
10.00,180.000,180.000,180.000,180.000,22.025,22.025,22.025,22.027,23.153,23.153,23.153,23.170,130.776,130.780,130.773,189.761,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
11.00,180.000,180.000,180.000,180.000,22.033,22.033,22.033,22.035,23.357,23.357,23.357,23.357,136.872,136.878,136.868,198.503,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
12.00,180.000,180.000,180.000,180.000,22.042,22.042,22.042,22.044,23.570,23.570,23.570,23.549,142.407,142.415,142.403,206.326,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
13.00,180.000,180.000,180.000,180.000,22.053,22.053,22.053,22.054,23.793,23.793,23.793,23.745,147.436,147.446,147.431,213.327,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
14.00,180.000,180.000,180.000,180.000,22.065,22.065,22.065,22.066,24.024,24.024,24.024,23.942,152.007,152.020,152.002,219.593,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
15.00,180.000,180.000,180.000,180.000,22.078,22.078,22.078,22.078,24.263,24.263,24.263,24.142,156.164,156.181,156.159,225.200,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
16.00,180.000,180.000,180.000,180.000,22.093,22.093,22.093,22.092,24.508,24.509,24.508,24.342,159.949,159.968,159.942,230.219,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
17.00,180.000,180.000,180.000,180.000,22.109,22.109,22.109,22.108,24.760,24.760,24.760,24.543,163.395,163.419,163.388,234.713,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
18.00,180.000,180.000,180.000,180.000,22.128,22.128,22.128,22.124,25.017,25.018,25.017,24.743,166.537,166.565,166.530,238.738,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
19.00,180.000,180.000,180.000,180.000,22.147,22.147,22.147,22.142,25.280,25.280,25.279,24.943,169.403,169.436,169.396,242.343,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
20.00,180.000,180.000,180.000,180.000,22.168,22.168,22.168,22.161,25.546,25.547,25.546,25.141,172.021,172.058,172.013,245.574,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
21.00,180.000,180.000,180.000,180.000,22.191,22.191,22.191,22.181,25.817,25.818,25.817,25.337,174.413,174.456,174.405,248.470,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
22.00,180.000,180.000,180.000,180.000,22.216,22.216,22.216,22.202,26.092,26.092,26.091,25.532,176.602,176.651,176.594,251.069,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
23.00,180.000,180.000,180.000,180.000,22.242,22.242,22.242,22.225,26.369,26.370,26.369,25.725,178.608,178.663,178.599,253.402,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
24.00,180.000,180.000,180.000,180.000,22.270,22.270,22.270,22.248,26.650,26.651,26.650,25.915,180.448,180.510,180.439,255.498,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
25.00,180.000,180.000,180.000,180.000,22.299,22.300,22.299,22.273,26.934,26.935,26.933,26.103,182.138,182.207,182.129,257.382,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
26.00,180.000,180.000,180.000,180.000,22.331,22.331,22.331,22.299,27.220,27.221,27.219,26.289,183.692,183.769,183.684,259.077,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
27.00,180.000,180.000,180.000,180.000,22.364,22.364,22.364,22.326,27.508,27.509,27.507,26.472,185.124,185.210,185.116,260.604,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
28.00,180.000,180.000,180.000,180.000,22.398,22.398,22.398,22.353,27.798,27.799,27.797,26.652,186.445,186.540,186.438,261.981,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
29.00,180.000,180.000,180.000,180.000,22.435,22.435,22.435,22.382,28.089,28.091,28.089,26.830,187.667,187.770,187.660,263.224,1.0000,1.0000,1.0000,0.9500,700.00,700.00,700.00,0.00
