# QiTech extruder V2 heat-up, recorded 2026-02-24, resampled to the log's native ~1 Hz.
# Source: Aufwaermen-truder-graphs_export_2026-02-24T16-51-59.xlsx
# t_s is seconds since heating was enabled (the log's first 368 s of idle are dropped).
# duty_* is the PID duty cycle 0..1, recovered from the logged power column by dividing
# by the wattage the FIRMWARE had configured at the time (900 W barrel / 150 W nozzle),
# which did not match the real hardware (700 W barrel / 200 W nozzle). Storing duty rather
# than watts keeps this file independent of that mistake.
# Setpoints during this run: front 180, middle 180, back 170, nozzle 175 degC. kp=0.16 ki=0 kd=0.008.
t_s,T_front,T_middle,T_back,T_nozzle,duty_front,duty_middle,duty_back,duty_nozzle
0.00,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
1.01,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
2.02,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
3.03,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
4.04,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
5.04,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
6.05,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
7.06,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
8.07,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
9.08,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
10.09,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
11.10,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
12.11,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
13.12,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
14.13,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
15.14,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
16.15,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
17.15,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
18.16,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
19.17,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
20.18,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
21.19,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
22.20,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
23.21,22.3,22.0,22.0,22.3,1.0000,1.0000,1.0000,0.9500
24.22,22.4,22.1,22.0,22.3,1.0000,1.0000,1.0000,0.9500
25.23,22.4,22.1,22.1,22.3,1.0000,1.0000,1.0000,0.9500
26.24,22.4,22.1,22.1,22.3,1.0000,1.0000,1.0000,0.9500
27.25,22.4,22.1,22.1,22.4,1.0000,1.0000,1.0000,0.9500
28.26,22.4,22.1,22.1,22.4,1.0000,1.0000,1.0000,0.9500
29.26,22.4,22.1,22.1,22.4,1.0000,1.0000,1.0000,0.9500
30.27,22.4,22.1,22.1,22.4,1.0000,1.0000,1.0000,0.9500
31.28,22.5,22.2,22.1,22.4,1.0000,1.0000,1.0000,0.9500
32.29,22.5,22.2,22.2,22.4,1.0000,1.0000,1.0000,0.9500
33.30,22.5,22.2,22.2,22.4,1.0000,1.0000,1.0000,0.9500
34.31,22.5,22.2,22.2,22.5,1.0000,1.0000,1.0000,0.9500
35.32,22.5,22.3,22.2,22.5,1.0000,1.0000,1.0000,0.9500
36.33,22.6,22.3,22.2,22.5,1.0000,1.0000,1.0000,0.9500
37.34,22.6,22.3,22.3,22.5,1.0000,1.0000,1.0000,0.9500
38.35,22.6,22.3,22.3,22.5,1.0000,1.0000,1.0000,0.9500
39.36,22.7,22.4,22.3,22.5,1.0000,1.0000,1.0000,0.9500
40.36,22.7,22.4,22.4,22.6,1.0000,1.0000,1.0000,0.9500
41.37,22.8,22.4,22.4,22.6,1.0000,1.0000,1.0000,0.9500
42.38,22.8,22.5,22.4,22.6,1.0000,1.0000,1.0000,0.9500
43.39,22.8,22.5,22.5,22.6,1.0000,1.0000,1.0000,0.9500
44.40,22.9,22.5,22.5,22.7,1.0000,1.0000,1.0000,0.9500
45.41,22.9,22.6,22.6,22.7,1.0000,1.0000,1.0000,0.9500
46.42,23.0,22.6,22.6,22.7,1.0000,1.0000,1.0000,0.9500
47.43,23.0,22.7,22.7,22.7,1.0000,1.0000,1.0000,0.9500
48.44,23.1,22.7,22.7,22.8,1.0000,1.0000,1.0000,0.9500
49.45,23.1,22.8,22.8,22.8,1.0000,1.0000,1.0000,0.9500
50.46,23.2,22.8,22.8,22.8,1.0000,1.0000,1.0000,0.9500
51.47,23.2,22.9,22.9,22.9,1.0000,1.0000,1.0000,0.9500
52.48,23.3,23.0,22.9,22.9,1.0000,1.0000,1.0000,0.9500
53.49,23.4,23.0,23.0,22.9,1.0000,1.0000,1.0000,0.9500
54.49,23.4,23.1,23.1,23.0,1.0000,1.0000,1.0000,0.9500
55.50,23.5,23.2,23.1,23.0,1.0000,1.0000,1.0000,0.9500
56.51,23.6,23.2,23.2,23.0,1.0000,1.0000,1.0000,0.9500
57.52,23.6,23.3,23.2,23.1,1.0000,1.0000,1.0000,0.9500
58.53,23.7,23.4,23.3,23.1,1.0000,1.0000,1.0000,0.9500
59.54,23.8,23.4,23.4,23.2,1.0000,1.0000,1.0000,0.9500
60.55,23.9,23.5,23.5,23.2,1.0000,1.0000,1.0000,0.9500
61.56,23.9,23.6,23.5,23.2,1.0000,1.0000,1.0000,0.9500
62.57,24.0,23.6,23.6,23.3,1.0000,1.0000,1.0000,0.9500
63.58,24.1,23.7,23.7,23.3,1.0000,1.0000,1.0000,0.9500
64.59,24.2,23.8,23.7,23.4,1.0000,1.0000,1.0000,0.9500
65.60,24.2,23.8,23.8,23.4,1.0000,1.0000,1.0000,0.9500
66.61,24.3,23.9,23.9,23.4,1.0000,1.0000,1.0000,0.9500
67.61,24.4,24.0,24.0,23.5,1.0000,1.0000,1.0000,0.9500
68.62,24.5,24.1,24.1,23.5,1.0000,1.0000,1.0000,0.9500
69.63,24.6,24.2,24.2,23.6,1.0000,1.0000,1.0000,0.9500
70.64,24.7,24.3,24.3,23.6,1.0000,1.0000,1.0000,0.9500
71.65,24.8,24.4,24.3,23.7,1.0000,1.0000,1.0000,0.9500
72.66,24.9,24.5,24.4,23.7,1.0000,1.0000,1.0000,0.9500
73.67,25.0,24.5,24.5,23.8,1.0000,1.0000,1.0000,0.9500
74.68,25.1,24.6,24.6,23.8,1.0000,1.0000,1.0000,0.9500
75.69,25.2,24.8,24.7,23.9,1.0000,1.0000,1.0000,0.9500
76.69,25.3,24.9,24.8,23.9,1.0000,1.0000,1.0000,0.9500
77.70,25.4,24.9,24.9,24.0,1.0000,1.0000,1.0000,0.9500
78.71,25.5,25.0,25.0,24.0,1.0000,1.0000,1.0000,0.9500
79.72,25.6,25.1,25.1,24.1,1.0000,1.0000,1.0000,0.9500
80.73,25.7,25.3,25.2,24.1,1.0000,1.0000,1.0000,0.9500
81.74,25.8,25.4,25.4,24.2,1.0000,1.0000,1.0000,0.9500
82.75,25.9,25.5,25.5,24.2,1.0000,1.0000,1.0000,0.9500
83.76,26.1,25.6,25.6,24.3,1.0000,1.0000,1.0000,0.9500
84.77,26.2,25.7,25.7,24.3,1.0000,1.0000,1.0000,0.9500
85.78,26.3,25.8,25.8,24.4,1.0000,1.0000,1.0000,0.9500
86.79,26.4,25.9,25.9,24.4,1.0000,1.0000,1.0000,0.9500
87.80,26.5,26.0,26.0,24.5,1.0000,1.0000,1.0000,0.9500
88.81,26.7,26.1,26.2,24.5,1.0000,1.0000,1.0000,0.9500
89.82,26.8,26.3,26.3,24.6,1.0000,1.0000,1.0000,0.9500
90.82,26.9,26.4,26.4,24.7,1.0000,1.0000,1.0000,0.9500
91.83,27.1,26.5,26.5,24.7,1.0000,1.0000,1.0000,0.9500
92.84,27.2,26.6,26.6,24.8,1.0000,1.0000,1.0000,0.9500
93.85,27.3,26.7,26.8,24.8,1.0000,1.0000,1.0000,0.9500
94.86,27.4,26.9,26.9,24.9,1.0000,1.0000,1.0000,0.9500
95.87,27.6,27.0,27.0,25.0,1.0000,1.0000,1.0000,0.9500
96.88,27.7,27.1,27.1,25.0,1.0000,1.0000,1.0000,0.9500
97.89,27.8,27.2,27.3,25.1,1.0000,1.0000,1.0000,0.9500
98.90,28.0,27.4,27.4,25.1,1.0000,1.0000,1.0000,0.9500
99.91,28.1,27.5,27.5,25.2,1.0000,1.0000,1.0000,0.9500
100.92,28.2,27.6,27.7,25.3,1.0000,1.0000,1.0000,0.9500
101.93,28.4,27.8,27.8,25.3,1.0000,1.0000,1.0000,0.9500
102.94,28.5,27.9,27.9,25.4,1.0000,1.0000,1.0000,0.9500
103.94,28.7,28.1,28.1,25.5,1.0000,1.0000,1.0000,0.9500
104.95,28.8,28.2,28.2,25.5,1.0000,1.0000,1.0000,0.9500
105.96,29.0,28.3,28.3,25.6,1.0000,1.0000,1.0000,0.9500
106.97,29.1,28.4,28.5,25.6,1.0000,1.0000,1.0000,0.9500
107.98,29.3,28.6,28.7,25.7,1.0000,1.0000,1.0000,0.9500
108.99,29.4,28.7,28.8,25.8,1.0000,1.0000,1.0000,0.9500
110.00,29.6,28.9,29.0,25.9,1.0000,1.0000,1.0000,0.9500
111.01,29.7,29.0,29.1,25.9,1.0000,1.0000,1.0000,0.9500
112.02,29.9,29.2,29.2,26.0,1.0000,1.0000,1.0000,0.9500
113.03,30.0,29.3,29.4,26.0,1.0000,1.0000,1.0000,0.9500
114.03,30.2,29.5,29.5,26.1,1.0000,1.0000,1.0000,0.9500
115.04,30.3,29.6,29.7,26.2,1.0000,1.0000,1.0000,0.9500
116.05,30.5,29.8,29.8,26.2,1.0000,1.0000,1.0000,0.9500
117.06,30.7,29.9,30.0,26.3,1.0000,1.0000,1.0000,0.9500
118.07,30.8,30.1,30.2,26.4,1.0000,1.0000,1.0000,0.9500
119.08,31.0,30.2,30.3,26.5,1.0000,1.0000,1.0000,0.9500
120.09,31.2,30.4,30.5,26.5,1.0000,1.0000,1.0000,0.9500
121.10,31.3,30.6,30.6,26.6,1.0000,1.0000,1.0000,0.9500
122.11,31.5,30.7,30.8,26.7,1.0000,1.0000,1.0000,0.9500
123.12,31.6,30.8,31.0,26.7,1.0000,1.0000,1.0000,0.9500
124.13,31.8,31.0,31.1,26.8,1.0000,1.0000,1.0000,0.9500
125.14,32.0,31.2,31.3,26.9,1.0000,1.0000,1.0000,0.9500
126.15,32.2,31.3,31.5,27.0,1.0000,1.0000,1.0000,0.9500
127.15,32.3,31.5,31.6,27.0,1.0000,1.0000,1.0000,0.9500
