timestamp_ms,rss_bytes,process_cpu_time_s,minor_faults,major_faults,jitter_min_ns,jitter_avg_ns,jitter_max_ns,rt_loop_cpu_time_s,rx_bytes_per_s,tx_bytes_per_s,rt_nr_switches,rt_nr_voluntary_switches,rt_nr_involuntary_switches
1769774208674,0,0.000000,0,0,0,0,0 ,,0.000,0.000,2,1,1
1769774209674,14073856,0.000000,601,0,10841,17168,440094 ,,0.000,0.000,2767,2546,221
1769774210674,20467712,1.660000,1072,0,391,4569,266770 ,,554975.957,415259.018,8228,4323,3905
1769774211675,21278720,3.550000,1224,0,371,789,5210 ,,107347.266,116178.270,16248,5803,10445
1769774212676,21688320,5.550000,1324,0,391,808,5230 ,,105855.125,115092.162,24201,7291,16910
1769774213676,22065152,7.550000,1416,0,371,821,5410 ,,105794.522,113728.212,32150,8789,23361
1769774214677,22085632,9.560000,1421,0,401,816,7635 ,,105662.851,113750.629,40176,10268,29908
1769774215677,22114304,11.570000,1428,0,391,832,5731 ,,107349.652,117524.122,48214,11752,36462
1769774216678,21979136,13.570000,1446,0,371,850,34615 ,,105723.630,113415.674,56109,13228,42881
1769774217678,22003712,15.580000,1452,0,371,1058,232255 ,,105676.241,113897.903,64164,14716,49448
1769774218679,22028288,17.590000,1458,0,381,1209,396753 ,,105634.936,113266.958,72083,16189,55894
1769774219679,22016000,19.600000,1463,0,351,802,4548 ,,950827.720,130809.349,80073,17682,62391
1769774220680,22261760,21.600000,1523,0,381,841,32591 ,,106037.723,114109.591,88105,19171,68934
1769774221680,22282240,23.600000,1528,0,381,808,5190 ,,106117.169,117165.356,95971,20652,75319
1769774222681,22306816,25.610000,1534,0,391,806,9368 ,,105992.001,114933.277,103947,22142,81805
1769774223681,22151168,27.620000,1541,0,401,808,5150 ,,107401.357,116087.966,111926,23633,88293
1769774224682,22171648,29.620000,1546,0,381,819,19768 ,,105856.429,113678.323,119834,25110,94724
1769774225683,22175744,31.630000,1552,0,381,827,6092 ,,105542.416,113824.055,127814,26596,101218
1769774226683,22175744,33.640000,1557,0,331,812,5410 ,,105976.256,116036.964,135803,28075,107728
1769774227684,22433792,35.650000,1620,0,391,795,2595 ,,105675.605,113497.430,143627,29554,114073
1769774228684,22454272,37.650000,1625,0,381,823,5120 ,,105723.269,114046.960,151626,31041,120585
1769774229685,22478848,39.650000,1631,0,371,810,5771 ,,105796.091,113308.121,159605,32535,127070
1769774230685,22319104,41.670000,1649,0,361,796,4639 ,,105819.051,115815.482,167616,34011,133605
1769774231686,22339584,43.670000,1654,0,401,801,4438 ,,105663.922,113993.659,175680,35504,140176
